Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",42%,8.39,401.0,4145.0,2055.0,10.33,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",44%,9.14,437.0,4433.0,2141.0,10.15,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",46%,11.09,530.0,5135.0,2289.0,9.68,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",48%,12.95,618.0,5719.0,2416.0,9.25,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",50%,14.35,685.0,6157.0,2503.0,8.99,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",52%,15.63,746.0,6592.0,2589.0,8.84,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",54%,17.19,820.0,7019.0,2673.0,8.56,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",56%,18.84,898.0,7493.0,2755.0,8.34,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",58%,21.11,1005.0,8114.0,2860.0,8.08,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",60%,22.89,1089.0,8578.0,2933.0,7.88,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",62%,24.52,1166.0,8983.0,3003.0,7.71,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",64%,26.22,1246.0,9388.0,3070.0,7.53,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",66%,28.33,1345.0,9842.0,3145.0,7.32,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",68%,30.19,1432.0,10262.0,3222.0,7.16,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",70%,32.47,1540.0,10784.0,3289.0,7.0,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",76%,39.73,1878.0,12346.0,3488.0,6.57,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",82%,47.11,2222.0,13689.0,3679.0,6.16,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",88%,54.95,2583.0,15158.0,3855.0,5.87,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",94%,64.69,3030.0,16739.0,4037.0,5.52,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G30*10.5"" CF",100%,74.97,3498.0,18256.0,4209.0,5.22,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,40%,5.32,255.0,3050.0,1712.0,11.97,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,42%,5.9,282.0,3296.0,1769.0,11.67,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,44%,6.52,312.0,3508.0,1830.0,11.24,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,46%,7.1,340.0,3729.0,1893.0,10.97,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,48%,7.72,369.0,4020.0,1961.0,10.88,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,50%,8.46,405.0,4278.0,2024.0,10.57,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,52%,9.41,450.0,4616.0,2104.0,10.26,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,54%,10.33,494.0,4902.0,2176.0,9.93,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,56%,11.58,553.0,5361.0,2271.0,9.69,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,58%,12.68,606.0,5729.0,2345.0,9.46,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,60%,14.14,675.0,6189.0,2434.0,9.17,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,62%,15.38,734.0,6526.0,2506.0,8.9,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,64%,16.86,804.0,6969.0,2580.0,8.67,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,66%,18.14,864.0,7363.0,2650.0,8.52,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,68%,19.5,929.0,7719.0,2719.0,8.31,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,70%,21.1,1004.0,8132.0,2782.0,8.1,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,76%,26.16,1243.0,9395.0,2987.0,7.56,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,82%,31.59,1498.0,10618.0,3174.0,7.09,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,88%,37.16,1758.0,11833.0,3350.0,6.73,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,94%,43.34,2046.0,13009.0,3515.0,6.36,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,100%,50.42,2374.0,14371.0,3686.0,6.05,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,40%,8.14,390.0,4027.0,1964.0,10.33,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,42%,8.91,426.0,4322.0,2034.0,10.14,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,44%,9.81,469.0,4608.0,2103.0,9.82,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,46%,11.07,529.0,5009.0,2197.0,9.47,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,48%,12.85,614.0,5603.0,2318.0,9.13,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,50%,15.37,733.0,6395.0,2473.0,8.72,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,52%,16.8,801.0,6805.0,2553.0,8.5,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,54%,18.34,874.0,7239.0,2637.0,8.28,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,56%,20.06,955.0,7702.0,2715.0,8.06,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,58%,21.98,1046.0,8219.0,2796.0,7.86,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,60%,24.13,1148.0,8708.0,2886.0,7.59,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,62%,25.84,1228.0,9147.0,2951.0,7.45,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,64%,27.85,1323.0,9526.0,3029.0,7.2,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,66%,30.04,1425.0,10077.0,3102.0,7.07,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,68%,32.12,1523.0,10495.0,3174.0,6.89,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,70%,34.54,1636.0,11049.0,3239.0,6.75,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,76%,41.62,1966.0,12441.0,3442.0,6.33,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,82%,49.58,2335.0,13813.0,3623.0,5.91,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,88%,57.5,2701.0,15149.0,3798.0,5.61,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,94%,67.17,3143.0,16817.0,3979.0,5.35,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3016,100%,77.84,3628.0,18291.0,4142.0,5.04,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",40%,6.23,298.0,3569.0,1682.0,11.97,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",42%,6.84,327.0,3833.0,1744.0,11.72,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",44%,7.57,362.0,4074.0,1804.0,11.25,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",46%,8.08,387.0,4329.0,1848.0,11.19,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",48%,9.0,431.0,4655.0,1915.0,10.81,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",50%,9.89,473.0,4992.0,1982.0,10.56,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",52%,10.76,514.0,5325.0,2054.0,10.36,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",54%,11.96,571.0,5655.0,2121.0,9.9,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",56%,13.22,631.0,6143.0,2206.0,9.73,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",58%,14.61,697.0,6604.0,2289.0,9.47,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",60%,16.52,788.0,7188.0,2374.0,9.13,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",62%,17.83,850.0,7609.0,2438.0,8.95,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",64%,19.37,923.0,7997.0,2506.0,8.67,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",66%,20.83,992.0,8413.0,2577.0,8.48,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",68%,22.42,1067.0,8783.0,2646.0,8.23,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",70%,24.31,1156.0,9372.0,2707.0,8.11,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",76%,30.37,1441.0,10840.0,2905.0,7.52,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",82%,36.47,1726.0,12181.0,3078.0,7.06,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",88%,43.11,2036.0,13512.0,3237.0,6.64,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",94%,50.65,2385.0,14961.0,3393.0,6.27,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G32*11"" CF",100%,58.51,2748.0,16344.0,3545.0,5.95,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,40%,6.23,298.0,3505.0,1684.0,11.75,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,42%,6.71,321.0,3744.0,1739.0,11.66,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,44%,7.43,356.0,3992.0,1798.0,11.23,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,46%,8.2,392.0,4267.0,1856.0,10.88,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,48%,8.98,429.0,4565.0,1920.0,10.63,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,50%,9.75,466.0,4885.0,1981.0,10.48,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,52%,11.0,525.0,5248.0,2056.0,9.99,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,54%,11.93,570.0,5592.0,2125.0,9.82,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,56%,13.24,632.0,6039.0,2214.0,9.56,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,58%,14.65,699.0,6510.0,2295.0,9.31,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,60%,16.3,777.0,7018.0,2376.0,9.03,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,62%,17.7,843.0,7408.0,2446.0,8.78,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,64%,19.12,911.0,7803.0,2512.0,8.57,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,66%,20.56,979.0,8227.0,2583.0,8.41,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,68%,22.39,1065.0,8732.0,2646.0,8.2,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,70%,24.1,1146.0,9167.0,2713.0,8.0,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,76%,29.81,1414.0,10531.0,2913.0,7.45,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,82%,35.92,1700.0,11825.0,3087.0,6.95,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,88%,42.1,1988.0,13079.0,3256.0,6.58,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,94%,49.09,2312.0,14412.0,3418.0,6.23,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,T-MOTOR MF3218,100%,56.87,2671.0,15849.0,3567.0,5.93,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",40%,6.6,316.0,3371.0,2020.0,10.67,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",42%,7.32,351.0,3643.0,2097.0,10.39,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",44%,8.3,397.0,3974.0,2199.0,10.01,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",46%,9.72,465.0,4498.0,2332.0,9.68,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",48%,10.9,521.0,4931.0,2442.0,9.47,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",50%,12.0,573.0,5338.0,2529.0,9.31,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",52%,13.9,664.0,5850.0,2657.0,8.82,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",54%,15.25,728.0,6290.0,2755.0,8.64,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",56%,17.07,814.0,6778.0,2854.0,8.33,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",58%,18.52,883.0,7230.0,2936.0,8.19,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",60%,19.97,951.0,7608.0,3012.0,8.0,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",62%,21.38,1018.0,7960.0,3079.0,7.82,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",64%,22.86,1088.0,8330.0,3149.0,7.66,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",66%,24.55,1167.0,8737.0,3228.0,7.49,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",68%,26.37,1253.0,9214.0,3306.0,7.35,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",70%,28.43,1350.0,9632.0,3381.0,7.14,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",76%,33.93,1608.0,10865.0,3594.0,6.76,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",82%,40.64,1921.0,12235.0,3792.0,6.37,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",88%,48.19,2272.0,13656.0,3995.0,6.01,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",94%,56.17,2640.0,15086.0,4185.0,5.72,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,48.0,"T-MOTOR G29*9.5"" CF",100%,65.18,3052.0,16504.0,4371.0,5.41,
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,50%,5.4,259.2,2116.0,4152.0,8.16,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,55%,6.4,307.2,2371.0,4425.0,7.72,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,60%,7.7,369.6,2762.0,4709.0,7.47,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,65%,9.3,446.4,3125.0,5014.0,7.0,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,75%,13.2,633.6,4002.0,5626.0,6.32,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,85%,17.3,830.4,4821.0,6177.0,5.81,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,100%,25.4,1219.2,6246.0,6992.0,5.12,55.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,50%,10.4,249.6,1912.0,3960.0,7.66,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,55%,12.6,302.4,2207.0,4247.0,7.3,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,60%,14.5,348.0,2472.0,4491.0,7.1,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,65%,17.0,408.0,2805.0,4760.0,6.88,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,75%,23.9,573.6,3493.0,5292.0,6.09,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,85%,31.5,756.0,4191.0,5781.0,5.54,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 20*6CF,100%,44.9,1077.6,5302.0,6470.0,4.92,50.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,50%,6.6,316.8,2801.0,3703.0,8.84,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,55%,8.6,412.8,3312.0,4005.0,8.02,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,60%,9.9,475.2,3763.0,4289.0,7.92,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,65%,12.4,595.2,4356.0,4575.0,7.32,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,75%,17.1,820.8,5372.0,5091.0,6.54,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,85%,23.2,1113.6,6582.0,5635.0,5.91,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,100%,34.0,1632.0,8414.0,6374.0,5.16,85.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,50%,14.0,336.0,2683.0,3732.0,7.99,78.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,55%,17.3,415.2,3075.0,3977.0,7.41,78.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,60%,20.2,484.8,3444.0,4192.0,7.1,78.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,65%,23.0,552.0,3802.0,4418.0,6.89,78.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,75%,31.1,746.4,4609.0,4869.0,6.17,78.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,85%,40.5,972.0,5459.0,5257.0,5.62,78.0
P60 Without Pin Agricultural UAV / Drone Motor KV170,48.0,T-motor 22*6.6CF,100%,57.8,1387.2,6762.0,5827.0,4.87,78.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,40%,0.76,17.85,230.0,3080.0,12.91,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,45%,1.0,23.62,282.0,3417.0,11.93,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,50%,1.32,30.94,344.0,3755.0,11.11,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,55%,1.63,37.94,398.0,4036.0,10.5,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,60%,2.0,46.61,458.0,4319.0,9.83,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,65%,2.38,55.18,511.0,4571.0,9.26,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,70%,2.83,65.34,568.0,4837.0,8.7,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,75%,3.34,77.08,642.0,5094.0,8.33,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,80%,3.84,88.41,705.0,5337.0,7.97,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,85%,4.45,101.97,774.0,5594.0,7.59,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,90%,5.1,116.77,845.0,5838.0,7.24,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,95%,5.78,132.32,915.0,6068.0,6.91,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,100%,6.3,144.03,958.0,6235.0,6.65,45.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,40%,1.21,18.75,237.0,3138.0,12.66,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,45%,1.77,27.41,314.0,3589.0,11.47,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,50%,2.19,33.73,361.0,3851.0,10.71,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,55%,2.89,44.49,438.0,4236.0,9.85,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,60%,3.39,52.23,492.0,4469.0,9.43,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,65%,4.21,64.76,568.0,4802.0,8.78,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,70%,4.93,75.6,631.0,5054.0,8.34,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,75%,6.01,92.08,714.0,5384.0,7.75,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,80%,6.77,103.58,772.0,5584.0,7.45,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,85%,8.07,123.26,865.0,5895.0,7.02,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,90%,8.95,136.53,919.0,6083.0,6.73,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,95%,10.36,157.65,999.0,6345.0,6.34,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P12*4,100%,11.04,167.82,1036.0,6456.0,6.17,55.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,40%,0.86,20.38,262.0,2991.0,12.85,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,45%,1.14,26.83,325.0,3299.0,12.11,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,50%,1.5,35.42,398.0,3632.0,11.24,52.0
